accuracy,error,tests,input,hidden layer,hidden neurons,eta,momentum,alpha,range,density,logistic alpha
-0.46027179901163856,1.673134389615317,25205,2,0,0,0.01,true,0.1,0.5,20000,1
-0.44848510793344476,1.6663218793118209,25205,2,0,0,0.01,true,0.1,0.5,20000,0.51
-0.4580485270971332,1.6703107601048661,25205,2,0,0,0.01,true,0.1,0.5,20000,0.020000000000000018
-0.4501123234167319,1.6706602219480757,25205,2,0,0,0.01,false,0.1,0.5,20000,1
-0.46773053808979614,1.6737297278348893,25205,2,0,0,0.01,false,0.1,0.5,20000,0.51
-0.4627802394369511,1.6688039614826717,25205,2,0,0,0.01,false,0.1,0.5,20000,0.020000000000000018
-0.34241850123467127,1.7120711519986431,25205,2,1,10,0.01,true,0.1,0.5,20000,1
-0.22100821953150354,1.6828984957683237,25205,2,1,10,0.01,true,0.1,0.5,20000,0.51
-0.3285631417028436,1.7197672139148958,25205,2,1,10,0.01,true,0.1,0.5,20000,0.020000000000000018
-0.29772790208310357,1.6910354081076222,25205,2,1,10,0.01,false,0.1,0.5,20000,1
-0.32779113349107575,1.7131709027870594,25205,2,1,10,0.01,false,0.1,0.5,20000,0.51
-0.26926045343483035,1.7052589462608283,25205,2,1,10,0.01,false,0.1,0.5,20000,0.020000000000000018
-0.23002732699192832,1.6987863001760395,25205,2,2,10,0.01,true,0.1,0.5,20000,1
-0.28092061037026667,1.6905988428750909,25205,2,2,10,0.01,true,0.1,0.5,20000,0.51
-0.3099952780161337,1.7447808409334107,25205,2,2,10,0.01,true,0.1,0.5,20000,0.020000000000000018
-0.29869427930687703,1.7292230305717624,25205,2,2,10,0.01,false,0.1,0.5,20000,1
-0.29373687706202345,1.7065232125991414,25205,2,2,10,0.01,false,0.1,0.5,20000,0.51
-0.2856878111482582,1.7052910290771341,25205,2,2,10,0.01,false,0.1,0.5,20000,0.020000000000000018
